# http://www.iceandclimate.nbi.ku.dk/data/NGRIP_dust_on_GICC05_20y_december2014.txt
#
# % Dust concentration from the Greenland NGRIP ice cores on the GICC05 time scale.
# % The period covered is from ~10.3 ka b2k (years before A.D. 2000) where the measurements started to
# % 107.62 ka b2k where the GICC05modelext time scale ends.
# % File named NGRIP_dust_on_GICC05_20y_december2014.txt first released December 18th, 2014.
# % This data file and many other data are available from www.icecores.dk
# %
# % Age and depth values refer to the bottom of each interval.
# % Thus, the NGRIP depth interval 1406.44-1407.91 m, corresponding to 10.30-10.32 ka b2k, has an average dust concentration of 9359 particles per mL.
# %
# % All depths reported here are NGRIP2 depths.
# %
# % The concept of maximum counting error is introduced in Rasmussen et al. (2006, Journ. Geophys. Res.).
# % In a standard deviation context, the maximum counting error should be regarded as 2 sigma as discussed in
# % Andersen et al. (2006, Quat. Sci. Rev.). The maximum counting error is a measure of the uncertainty of the
# % GICC05 time scale.
# %
# % The data supplied below are resampled to 20 year resolution from the original measurements. Problems with missing
# % data are ignored if the missing data comprise less thanb half of the depth interval of a given 20-year interval.
# % If more than half of the data are missing, no value is given, which is indicated by "NaN".
# %
# % MAIN REFERENCE:
# % Ruth, U., D. Wagenbach, J. P. Steffensen, and M. Bigler,
# % Continuous record of microparticle concentration and size distribution in the central Greenland NGRIP ice core during the last glacial period
# % J. Geophys. Res., 108(D3), 4098, doi:10.1029/2002JD002376, 2003.
# %
# % GICC05 REFERENCES:
# %
# % The dating of the 7.9-14.7 ka b2k part and the concept of the MCE is described in the paper:
# % S.O. Rasmussen, K.K. Andersen, A.M. Svensson, J.P. Steffensen, B.M. Vinther, H.B. Clausen,
# % M.-L. Siggaard-Andersen, S.J. Johnsen, L.B. Larsen, D. Dahl-Jensen, M. Bigler, R. R�thlisberger,
# % H. Fischer, K. Goto-Azuma, M.E. Hansson, and U. Ruth
# % A new Greenland ice core chronology for the last glacial termination
# % Journ. Geophys. Res., vol. 111, D06102, 2006, doi:10.1029/2005JD006079
# %
# % The dating of the 14.7-41.8 ka b2k part and the ss09sea06bm is described in the paper:
# % K.K. Andersen, A. Svensson, S.J. Johnsen, S.O. Rasmussen, M. Bigler, R. R�thlisberger, U. Ruth,
# % M.-L. Siggaard-Andersen, J.P. Steffensen, D. Dahl-Jensen, B.M. Vinther, and H.B. Clausen
# % The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: Constructing the time scale
# % Quaternary Science Reviews, vol. 25, Shackleton special issue 24, 2006
# %
# % The dating of the 41.8-60.0 ka b2k part is described in the paper:
# % A. Svensson, K.K. Andersen, M. Bigler, H.B. Clausen, D. Dahl-Jensen, S.M. Davies, S.J. Johnsen,
# % R. Muscheler, S.O. Rasmussen, R. R�thlisberger, I. Seierstad, J.P. Steffensen, and B.M. Vinther
# % A 60,000 year Greenland stratigraphic ice core chronology
# % Submitted to Climate of the Past, October 2007
# %
# % The splicing of the GICC05 and model time scale at 60.2 ka b2k (GICC05modelext) is described in the paper:
# % E.W. Wolff, J. Chappellaz, T. Blunier, S.O. Rasmussen, A. Svensson,
# % Millennial-scale variability during the last glacial: The ice core record
# % Quaternary Science Reviews 29, p. 2828-2838, 2010
# %
# % COLUMNS IN THE DATA FILE
# % 1 : NGRIP2 depth (m)
# % 2 : Age (years b2k)
# % 3 : Maximum counting error (years)
# % 4 : NGRIP Dust content (particles per mL)
depth	age	error	dust
1406.44	10300	89	9510
1407.91	10320	89	9359
1409.42	10340	89	10286
1410.77	10360	89	NaN
1412.14	10380	89	8246
1413.48	10400	89	9573
1414.80	10420	90	9196
1416.18	10440	90	8598
1417.50	10460	90	9231
1418.84	10480	90	8514
1420.22	10500	90	8919
1421.55	10520	90	7371
1422.87	10540	90	7498
1424.23	10560	91	7326
1425.59	10580	91	7766
1426.93	10600	91	8644
1428.22	10620	91	8771
1429.54	10640	91	9158
1430.85	10660	91	9700
1432.22	10680	91	7503
1433.50	10700	92	9844
1434.84	10720	92	9055
1436.11	10740	92	13509
1437.43	10760	92	11518
1438.71	10780	92	7915
1439.92	10800	92	8255
1441.16	10820	92	8275
1442.44	10840	93	10367
1443.80	10860	93	10481
1445.12	10880	93	9664
1446.33	10900	93	10446
1447.53	10920	93	8670
1448.64	10940	93	11444
1449.92	10960	93	9950
1451.03	10980	94	11923
1452.29	11000	94	9849
1453.54	11020	94	10164
1454.75	11040	94	11467
1455.98	11060	94	10021
1457.18	11080	94	10221
1458.38	11100	94	8471
1459.59	11120	95	9516
1460.85	11140	95	10632
1461.97	11160	95	8029
1463.16	11180	95	9401
1464.37	11200	95	10751
1465.52	11220	95	9203
1466.67	11240	95	9749
1467.90	11260	95	8799
1469.13	11280	96	8515
1470.36	11300	96	9393
1471.51	11320	96	9671
1472.66	11340	96	11583
1473.88	11360	96	10940
1475.02	11380	96	9956
1476.16	11400	96	10775
1477.23	11420	97	14883
1478.16	11440	97	16921
1479.15	11460	97	17172
1480.13	11480	97	15335
1481.24	11500	97	14992
1482.32	11520	97	12095
1483.41	11540	97	11361
1484.59	11560	98	12706
1485.69	11580	98	11026
1486.95	11600	98	10310
1488.10	11620	98	11522
1489.26	11640	98	10874
1490.44	11660	98	14261
1491.45	11680	98	18200
1492.33	11700	99	36166
1492.94	11720	99	64291
1493.62	11740	100	65964
1494.26	11760	100	79776
1494.85	11780	101	62913
1495.43	11800	102	98648
1496.06	11820	102	85152
1496.68	11840	103	112918
1497.25	11860	104	101960
1497.81	11880	104	89691
1498.35	11900	105	104761
1498.93	11920	106	86177
1499.53	11940	106	119017
1500.15	11960	107	101787
1500.74	11980	108	104344
1501.29	12000	108	114600
1501.85	12020	109	91390
1502.51	12040	110	81096
1503.09	12060	110	100059
1503.65	12080	111	94641
1504.25	12100	112	97469
1504.78	12120	112	123165
1505.35	12140	113	115722
1505.87	12160	114	115895
1506.37	12180	114	140644
1506.94	12200	115	83445
1507.49	12220	115	119362
1508.03	12240	116	136410
1508.58	12260	117	134745
1509.20	12280	117	127416
1509.74	12300	118	136147
1510.29	12320	119	122330
1510.78	12340	119	169882
1511.34	12360	120	173023
1511.83	12380	121	111236
1512.41	12400	121	143773
1512.95	12420	122	138983
1513.56	12440	123	102296
1514.20	12460	123	142410
1514.75	12480	124	147055
1515.27	12500	125	165488
1515.84	12520	125	186434
1516.38	12540	126	188589
1516.89	12560	127	214460
1517.46	12580	127	187140
1517.94	12600	128	184547
1518.39	12620	129	239843
1518.90	12640	129	201090
1519.50	12660	130	211940
1520.04	12680	131	159221
1520.59	12700	131	229765
1521.21	12720	132	196896
1521.82	12740	132	209373
1522.36	12760	133	149167
1522.91	12780	134	156896
1523.44	12800	134	108805
1524.02	12820	135	78883
1524.70	12840	136	72650
1525.30	12860	136	49718
1525.94	12880	137	44308
1526.67	12900	138	42119
