Year	Value
1950	2536275
1951	2583817
1952	2630584
1953	2677230
1954	2724302
1955	2772243
1956	2821383
1957	2871952
1958	2924081
1959	2977825
1960	3033213
1961	3090305
1962	3149244
1963	3210271
1964	3273671
1965	3339593
1966	3408121
1967	3479054
1968	3551881
1969	3625906
1970	3700578
1971	3775791
1972	3851545
1973	3927539
1974	4003448
1975	4079087
1976	4154288
1977	4229201
1978	4304377
1979	4380586
1980	4458412
1981	4537846
1982	4618776
1983	4701531
1984	4786484
1985	4873782
1986	4963633
1987	5055636
1988	5148557
1989	5240735
1990	5330943
1991	5418759
1992	5504401
1993	5588095
1994	5670320
1995	5751474
1996	5831565
1997	5910566
1998	5988846
1999	6066867
2000	6145007
2001	6223412
2002	6302150
2003	6381409
2004	6461371
2005	6542159
2006	6623848
2007	6706419
2008	6789771
2009	6873741
2010	6958169
2011	7043009
2012	7128177
2013	7213426
2014	7298453
2015	7383009
