year	value
-10000	2431
-9000	3564
-8000	5136
-7000	7562
-6000	11461
-5000	17920
-4000	28370
-3000	44820
-2000	72108
-1000	115066
0	188239
100	195062
200	202310
300	205317
400	208910
500	210430
600	212643
700	225835
800	240488
900	268747
1000	295040
1100	352607
1200	393081
1300	392404
1400	389775
1500	461368
1600	553956
1700	603168
1710	634825
1720	656327
1730	670123
1740	755229
1750	813664
1760	839647
1770	861912
1780	951028
1790	987944
1800	989818
1810	1060575
1820	1089649
1830	1159136
1840	1212230
1850	1262682
1860	1289168
1870	1331447
1880	1419596
1890	1538923
1900	1654431
1910	1777175
1920	1912111
1930	2091894
1940	2307348
1950	2544877
1960	3042795
1970	3709837
1980	4460710
1990	5307597
2000	6144834
