GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

2.59	3.79	4.598	3.241	1.017	0.984	6.212	17.372	140.131	73.004	-36.3	-34.3
3.79	4.79	2.989	4.502	0.704	0.887	5.411	18.79	158.113	120.552	-34.3	-32.8
4.79	5.79	5.977	3.421	1.486	0.936	4.409	17.017	117.809	108.545	-32.8	-30.5
5.79	6.08	5.977	13.325	1.916	1.106	6.212	19.145	138.271	143.606	-30.5	-29.9
6.08	7.21	6.667	5.042	1.095	2.042	11.222	22.69	146.332	134.481	-29.9	-27.7
7.21	8.11	4.138	3.061	0.743	1.75	12.625	14.536	130.83	98.459	-27.7	-26.2
8.11	9.12	6.437	3.061	0.547	1.434	4.609	19.145	103.548	116.71	-26.2	-24.2
9.12	9.85	5.058	4.322	1.017	1.288	8.617	16.663	107.889	118.631	-24.2	-22.1
9.85	10.29	8.046	4.502	1.056	1.568	7.615	17.017	199.656	192.596	-22.1	-21.3
10.29	11.09	6.897	5.942	1.329	2.212	13.427	24.817	158.113	200.76	-21.3	-19.4
11.09	11.92	4.598	4.142	0.86	1.422	8.617	17.727	125.25	119.592	-19.4	-17.5
11.92	12.72	3.678	3.241	0.938	1.142	7.014	14.536	113.469	133.04	-17.5	-15.5
12.72	13.51	2.069	1.981	0.743	0.583	4.609	10.281	89.287	85.972	-15.5	-13.5
